epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,2565.67,1.24603,1.78504,0.87438,0.00816,0.83184,0.7817,0.80377,0.85277,0.54448,0.7847,0.8034,0.84143,0.5037,1.23903,1.93664,0.79495,0.01048,0,0.0002972,0.0002972,0.0002972
88,2594.93,1.24199,1.76858,0.85392,0.00812,0.82798,0.83533,0.77048,0.85082,0.54929,0.83683,0.76747,0.83669,0.49655,1.23257,1.95051,0.80853,0.01044,0,0.0002774,0.0002774,0.0002774
89,2624.14,1.25925,1.7878,0.84289,0.00829,0.81721,0.8413,0.77688,0.85199,0.54837,0.83517,0.77151,0.8426,0.50119,1.22684,1.92795,0.80462,0.0103,0,0.0002576,0.0002576,0.0002576
90,2653.3,1.24783,1.75912,0.85258,0.00807,0.82522,0.84563,0.79521,0.8499,0.54578,0.844,0.79032,0.83999,0.50415,1.2449,1.92237,0.776,0.01055,0,0.0002378,0.0002378,0.0002378
91,2683.14,1.18833,1.73386,0.73277,0.0099,0.72207,0.79981,0.79839,0.84457,0.5424,0.79346,0.80035,0.83993,0.50251,1.2436,1.93801,0.79064,0.01054,0,0.000218,0.000218,0.000218
92,2712.42,1.17101,1.72056,0.712,0.00978,0.68105,0.81064,0.78091,0.84322,0.5418,0.79498,0.80376,0.83787,0.49628,1.23668,1.96135,0.80052,0.01044,0,0.0001982,0.0001982,0.0001982
93,2741.35,1.15799,1.70395,0.68162,0.00971,0.66999,0.81255,0.79435,0.84875,0.54721,0.81579,0.79435,0.84261,0.50546,1.24003,1.94396,0.77301,0.0105,0,0.0001784,0.0001784,0.0001784
94,2770.3,1.15543,1.6963,0.65735,0.00959,0.6445,0.8406,0.77969,0.85879,0.55385,0.80695,0.8172,0.85379,0.50967,1.2303,1.93958,0.77781,0.01036,0,0.0001586,0.0001586,0.0001586
95,2799.38,1.15925,1.68867,0.6605,0.00962,0.65362,0.81182,0.79973,0.85262,0.5482,0.83386,0.77823,0.84716,0.50585,1.24113,1.93749,0.78077,0.01048,0,0.0001388,0.0001388,0.0001388
96,2828.37,1.15021,1.68629,0.67296,0.0095,0.66064,0.83636,0.79001,0.85555,0.5497,0.83522,0.78226,0.85067,0.50662,1.22963,1.94044,0.76973,0.01037,0,0.000119,0.000119,0.000119
97,2857.28,1.15523,1.68588,0.65271,0.00973,0.65367,0.85649,0.78615,0.85874,0.5542,0.85958,0.78161,0.85089,0.50981,1.22649,1.94283,0.76517,0.01032,0,9.92e-05,9.92e-05,9.92e-05
98,2886.22,1.15004,1.69185,0.6504,0.00953,0.63531,0.83876,0.79301,0.85551,0.55419,0.84618,0.78629,0.84927,0.50814,1.22538,1.94084,0.77224,0.0103,0,7.94e-05,7.94e-05,7.94e-05
99,2915.19,1.15148,1.68778,0.65325,0.00956,0.64085,0.84848,0.77526,0.85436,0.55101,0.8615,0.75806,0.84754,0.50627,1.22768,1.93684,0.77621,0.01031,0,5.96e-05,5.96e-05,5.96e-05
100,2944.13,1.15689,1.68328,0.65433,0.00967,0.63391,0.84622,0.78898,0.85512,0.55082,0.84168,0.78599,0.84711,0.50488,1.23159,1.93863,0.76888,0.01038,0,3.98e-05,3.98e-05,3.98e-05
