epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,2159.12,1.45058,1.95016,1.11274,0.00991,1.05509,0.82882,0.74462,0.82714,0.49699,0.82134,0.7379,0.81541,0.46491,1.35191,2.02066,0.91444,0.01176,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2198.93,1.44534,1.9722,1.09351,0.00969,1.0213,0.79452,0.77436,0.83342,0.51745,0.79434,0.77419,0.82884,0.48189,1.33313,1.98101,0.85531,0.01152,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2238.97,1.43734,1.96442,1.08757,0.00965,1.04147,0.79664,0.75821,0.8073,0.49306,0.79121,0.76075,0.80155,0.45601,1.32754,1.99241,0.95246,0.01143,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2278.9,1.42874,1.95807,1.0599,0.00973,1.01351,0.82851,0.76075,0.83172,0.51337,0.82498,0.75941,0.8209,0.47602,1.31433,1.97913,0.8858,0.01136,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2318.98,1.42102,1.95148,1.09537,0.00959,1.0447,0.83377,0.74059,0.82189,0.48814,0.82772,0.73522,0.80533,0.46539,1.37091,2.0286,0.90218,0.01196,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2358.86,1.42987,1.92622,1.06129,0.00956,1.00023,0.78785,0.78366,0.82153,0.50952,0.79549,0.77378,0.81799,0.47416,1.33527,1.98142,0.88555,0.01164,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2398.66,1.43192,1.94568,1.04904,0.00964,1.01293,0.74436,0.75269,0.79606,0.49197,0.73754,0.74785,0.78299,0.45696,1.34116,2.05477,1.02324,0.0117,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2438.64,1.42574,1.93194,1.07207,0.00954,1.01842,0.81247,0.7512,0.82254,0.51098,0.81699,0.75403,0.82063,0.47596,1.35152,1.98108,0.86332,0.01182,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2478.76,1.42979,1.95449,1.06844,0.00965,1.01829,0.82108,0.76487,0.82797,0.50589,0.80691,0.75264,0.80741,0.46673,1.34383,1.97534,0.90327,0.01168,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2518.64,1.42873,1.92808,1.06413,0.00966,1.01126,0.77829,0.77823,0.81732,0.50439,0.79564,0.74309,0.80352,0.47027,1.30103,1.99094,0.91758,0.01133,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2558.5,1.41487,1.93681,1.0706,0.00961,1.01621,0.81137,0.76894,0.81619,0.50093,0.81031,0.76938,0.80423,0.46791,1.32641,1.96784,0.91708,0.01157,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2598.36,1.41045,1.91313,1.02024,0.00944,0.98729,0.80326,0.77688,0.81896,0.50889,0.80465,0.77823,0.81694,0.47959,1.33002,1.94013,0.85592,0.01156,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2638.46,1.41849,1.91091,1.03573,0.00951,0.97082,0.73919,0.81048,0.81131,0.50257,0.73945,0.81048,0.80928,0.47425,1.3165,1.94619,0.89083,0.01158,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2678.39,1.42132,1.9272,1.01439,0.00936,0.97916,0.82934,0.74194,0.8123,0.49793,0.83338,0.74597,0.81825,0.47584,1.32336,1.95735,0.92576,0.0116,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2718.28,1.41045,1.91104,1.02952,0.00951,0.97246,0.80379,0.76537,0.83236,0.5161,0.80321,0.77419,0.83138,0.48488,1.31758,1.97502,0.88978,0.01139,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2758.22,1.40409,1.90182,1.01072,0.00937,0.94247,0.81506,0.77009,0.82574,0.51627,0.8322,0.77327,0.83481,0.49269,1.3186,1.94158,0.84229,0.01147,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2798.04,1.41297,1.90266,1.02921,0.00945,0.96612,0.80599,0.77615,0.82786,0.51917,0.80459,0.77481,0.82894,0.48498,1.28915,1.96411,0.86697,0.01128,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2837.83,1.38284,1.89361,1.00688,0.0093,0.93708,0.83529,0.77021,0.83483,0.52251,0.82946,0.76484,0.82409,0.49057,1.29238,1.93021,0.88708,0.01124,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2877.73,1.38464,1.89826,1.01024,0.00922,0.94167,0.82278,0.77957,0.82228,0.51434,0.82606,0.78226,0.82508,0.48135,1.31083,1.98357,0.88978,0.01135,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
