epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,1700.91,1.15299,1.82022,0.80603,1.13575,0,0.85844,0.83134,0.87371,0.55865,0.85293,0.82124,0.86667,0.50973,1.21195,1.96869,0.7775,1.20283,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1726.36,1.14262,1.81656,0.81204,1.12739,0,0.85134,0.81586,0.87351,0.55122,0.84575,0.81317,0.87259,0.50899,1.22564,1.96482,0.78235,1.22228,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,1751.73,1.15834,1.81105,0.81083,1.14394,0,0.83982,0.81048,0.87159,0.5667,0.83644,0.8078,0.86618,0.51552,1.17512,1.95109,0.78624,1.20052,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,1777.17,1.15522,1.82123,0.81209,1.14693,0,0.85562,0.81248,0.87188,0.55374,0.85421,0.81114,0.8674,0.50471,1.19907,1.95395,0.76849,1.22321,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,1802.56,1.14415,1.80796,0.80351,1.14013,0,0.87598,0.80242,0.86978,0.5606,0.86822,0.797,0.86248,0.5191,1.19581,1.93829,0.77688,1.21247,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,1828.01,1.13864,1.81877,0.7932,1.13554,0,0.8411,0.83468,0.87081,0.5602,0.85104,0.83065,0.86852,0.51738,1.20783,1.95582,0.7456,1.21574,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,1853.42,1.14617,1.8185,0.80672,1.13661,0,0.84349,0.82579,0.85844,0.55328,0.84058,0.82208,0.85627,0.50543,1.17588,1.96894,0.75712,1.20176,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1878.87,1.13459,1.81016,0.79429,1.13005,0,0.83992,0.81989,0.86343,0.55852,0.83717,0.8172,0.86273,0.51104,1.1835,1.96501,0.76791,1.2038,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1904.2,1.11955,1.80259,0.77974,1.12445,0,0.8353,0.83845,0.87298,0.56279,0.83668,0.84409,0.87581,0.50937,1.18231,2.0061,0.75489,1.19176,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,1929.57,1.1157,1.76653,0.79556,1.11902,0,0.83943,0.8432,0.87622,0.56623,0.8385,0.83742,0.87052,0.51957,1.17966,1.97513,0.73792,1.1919,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
